Feature	Importances
Grant Roa	2.1123731302249974e-20
Graziellia de Villa	0.0
Greg Johnson	6.410959976280711e-20
Greg Kinnear	2.3949271350143852e-19
Gregg Edelman	0.0
Gregor Fisher	4.717125183943609e-18
Gretchen Mol	8.078017294346716e-21
Guillaume Canet	7.147820012500276e-21
Guy Carleton	1.0988336257800362e-19
Guy Massey	8.190991270384277e-21
Guy Pearce	1.1430064321015991e-19
Gwen Stefani	2.0068622348559083e-19
Gwyneth Paltrow	1.6970493041346915e-19
Gyrd Løfquist	0.0
Gyözö Szabó	0.0
Gösta Ekman	0.0
Ha-ryong Lim	9.574677581507431e-20
Hakeem Kae-Kazim	0.0
Halina Reijn	0.0
Hamish Linklater	1.6930158845603911e-19
Han Bo-bae	0.0
Hanns Zischler	6.559960827057405e-20
Hans-Uwe Bauer	3.10959089756335e-19
Harriet Andersson	0.0
Harriet Sansom Harris	0.0
Harriet Walter	1.1343560434040869e-18
Harris Yulin	2.408149585937188e-19
Harrison Ford	0.0
Harrison Taylor	1.2073632770073833e-19
Harry Lennix	4.01547853866037e-19
Harry Melling	1.7129881455369682e-17
Haruko Katô	5.846605422077766e-06
Hayden Christensen	2.9918268204791597e-17
Hayden Panettiere	0.0
Heath Ledger	8.899847765950671e-18
Heather Craney	2.394127842774958e-21
Heino Ferch	0.0
Helen Hunt	5.633172910429898e-18
Helena Bonham Carter	1.0042906541301577e-19
Hema Malini	0.0
Henry Cavill	8.056862880324964e-20
Henry Thomas	3.106931634333359e-19
Herbert Knaup	6.541834315735624e-19
Hikari Ishida	1.9869711856083628e-18
Hilary Swank	0.0
Hiroshi Kanbe	0.0
Hiroyuki Sanada	0.0
Holly Hunter	3.217183355189723e-07
Holmes Osborne	0.0
Homayoun Ershadi	1.7725167661555784e-19
Hrithik Roshan	0.0
Hugh Dancy	0.0
Hugh Grant	8.200784822328876e-19
Hugo Weaving	0.0
Humberto Busto	4.844039430761388e-21
Ia Langhammer	0.0
Iain Rea	0.0
Ian Barford	1.0406030560955303e-18
Ian Hart	2.891953160887698e-19
Ian Holm	9.998799701260955e-20
Ian McDiarmid	2.1257137590642177e-17
Ian McKellen	1.0424007069920338e-05
Ian McShane	1.7281714708940866e-17
Ila Arun	1.2926642130287416e-08
Imelda Staunton	7.387179027254652e-21
Indio Falconer Downey	1.4421154488608488e-20
Irina Gorovaia	4.415097760984183e-19
Irma P. Hall	6.778806648519858e-19
Irrfan Khan	1.5523349181950566e-18
Isaac Fajm	0.0
Isaach De Bankolé	0.0
Isabelle Huppert	5.079134185290284e-21
Isabelle Nanty	1.2164112432525388e-18
Isiah Whitlock Jr.	0.0
Israel Contreras	2.2999278838062835e-19
Israel Ríos	2.004127509155029e-19
Ivan Massagué	2.6534025631932613e-19
Ivan de Almeida	0.0
Ivana Baquero	4.022832959630383e-19
J.J. Johnson	2.690438611630593e-19
J.K. Simmons	0.0
J.R. Horne	0.0
J.R. Yenque	1.943023188587754e-18
JB Blanc	9.792785837992714e-20
Jacek Koman	0.0
Jacinda Barrett	8.796081258079235e-22
Jack Black	2.091676254397754e-17
Jack Davenport	2.9673913227909877e-18
Jack Nicholson	0.0
Jack Randall	9.061284239308361e-07
Jackie Chan	1.6525820804686818e-17
Jackie Earle Haley	0.0
Jackie Shroff	3.0621749998271307e-21
Jacky Ido	3.2511245486893424e-18
Jaclyn Ngan	0.0
Jacob Stringer	2.0311402699841462e-19
Jacob Tolano	3.395606115143593e-18
Jacob Vargas	2.4215732587736766e-18
Jacques Perrin	0.0
Jada Pinkett Smith	6.7784567108604596e-06
Jaden Smith	0.0
Jagannath Guha	1.1615959752466988e-21
Jake Gyllenhaal	1.5844775942425347e-18
Jake Wood	1.5871441527952592e-19
Jamel Debbouze	1.1088234403570414e-18
James Badge Dale	3.3246561708095006e-06
James Brolin	6.2320750203886756e-18
James Caan	0.0
James Coburn	0.0
James Cromwell	0.0
James D'Arcy	5.092036512729548e-07
James Duval	0.0
James Earl Jones	7.665361322293389e-19
James Franco	0.0
James Garner	0.0
James Hong	1.2013123830225826e-17
James Karen	7.48286613577899e-18
James Marsden	0.0
James McAvoy	4.637684463169297e-20
James Parks	9.215502093111993e-08
James Phelps	1.9512829913463395e-18
James Ransone	0.0
Jamie Bell	1.0166958676611614e-18
Jamie Draven	1.1305377367843754e-18
Jamie Foxx	9.615195706222664e-19
Jane Adams	1.8561827672449299e-19
Janeane Garofalo	0.0
Janet Sarno	0.0
Jang In-han	0.0
Janis Kelly	6.129931259324623e-07
Jared Burke	7.195275741391777e-22
Jared Leto	9.802772189032956e-21
Jarvis Cocker	1.0575314226909416e-21
Jase Blankfort	6.504369976568748e-08
Jason Boyd	0.0
Jason Buckham	0.0
Jason Finn	1.887514917619812e-20
Jason Gray-Stanford	8.794426175825306e-06
Jason Lee	0.0
Jason Schwartzman	1.3844121971645694e-20
Jason Statham	0.0
Javier Bardem	4.325070072927046e-06
Javier Cámara	4.379664590148622e-20
Jay Baruchel	0.0
Jay Tavare	3.477205613948148e-21
Jean Ainslie	2.723393812412372e-21
Jean Heywood	0.0
Jean Sincere	5.538460527249738e-19
Jean-Claude Donda	0.0
Jean-Marc Barr	1.0228430772441365e-08
Jean-Pierre Cassel	1.8237938077516792e-09
Jean-Pierre Darroussin	2.402484479913352e-19
Jean-Pierre Nshanian	4.6181545513694546e-08
Jeanne Bates	5.132540743178724e-22
Jefechander Suplino	0.0
Jeff Bridges	9.424807405664461e-18
Jeff Dashnaw	2.4349653244409373e-18
Jeff Witzke	6.414414480846203e-21
Jeffrey Dean Morgan	4.242305360289686e-19
Jeffrey Tambor	3.758029484127285e-18
Jeffrey Wright	8.063309017203332e-07
Jena Malone	6.085290679486126e-19
Jennifer Connelly	7.43267642307105e-18
Jennifer Echols	4.508890391668693e-07
Jennifer Jason Leigh	6.393296147569968e-19
Jennifer Saunders	1.0475042371978904e-19
Jennifer Tilly	1.2662903169207687e-19
Jeon Mi-seon	0.0
Jeong Jae-yeong	8.032867212166298e-20
Jeremy Davies	0.0
Jeremy Renner	2.0766621434548783e-19
Jermaine Williams	5.4084011055314255e-21
Jesper Christensen	9.521340111812181e-18
Jesse James	8.350363624940695e-19
Jessica Alba	0.0
Jessica Biel	1.5059783649804608e-19
Jessica Capshaw	8.506653990899154e-18
Jessica Hecht	0.0
Jessica Kate Meyer	0.0
Jessica Lange	0.0
Jesús Ochoa	2.434042857794517e-20
Jet Li	0.0
Jewel Staite	0.0
Ji Dae-han	3.189095493730352e-21
Jill Talley	1.2092897038043524e-18
Jim Beaver	1.0241751305875959e-20
Jim Broadbent	1.4805206228662205e-18
Jim Carrey	0.0
Jim Caviezel	0.0
Jim Cummings	0.0
Jimmy Smits	1.6159861067309836e-17
Joan Allen	7.527563896730626e-06
Joan Cusack	0.0
Joan Dalmau	0.0
Joan Lunden	0.0
Joanne Gordon	0.0
Joaquin Phoenix	1.27836053558462e-17
Jodie Foster	3.685245496425387e-18
Joe Cornish	7.951292326455666e-19
