category,employee,runtimeMinutes,ProductionCompanies
actress,Jennifer Connelly,105,"Vertigo Entertainment, Touchstone Pictures, Post No Bills Films, Pandemonium Productions"
actor,Kevin Costner,139,"Tig Productions, Touchstone Pictures, Beacon Pictures, Cobalt Media Group"
actor,Kevin Costner,139,"Contrafilm, Firm Films, Touchstone Pictures, Beacon Pictures, Eyetronics"
actor,Kevin Costner,125,"Franchise Pictures, Warner Bros., Morgan Creek Productions"
actor,Kevin Costner,97,"Village Roadshow Pictures, Section Eight, Spring Creek Productions, Warner Bros."
producer,Kevin Costner,139,"Tig Productions, Touchstone Pictures, Beacon Pictures, Cobalt Media Group"
director,Kevin Costner,139,"Tig Productions, Touchstone Pictures, Beacon Pictures, Cobalt Media Group"
writer,Wes Craven,90,Dimension Films
actor,Russell Crowe,138,"Universal Pictures, Twentieth Century Fox Film Corporation, Samuel Goldwyn Films, Miramax"
actor,Russell Crowe,122,"Tree Line Films, Lionsgate, Relativity Media, Yuma"
actor,Russell Crowe,117,"Fox 2000 Pictures, Scott Free Productions"
actor,Russell Crowe,144,"Miramax Films, Imagine Entertainment, Universal Pictures, Parkway Pictures (I), Touchstone Pictures"
actor,Russell Crowe,135,"Imagine Entertainment, DreamWorks SKG, Universal Pictures"
actor,Tom Cruise,136,"Paramount Pictures, Cruise-Wagner Productions, Vinyl Films"
actor,Tom Cruise,120,"Paramount Pictures, DreamWorks SKG, Parkes/MacDonald Productions, Edge City"
actor,Tom Cruise,145,"DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment, Twentieth Century Fox Film Corporation, Blue Tulip Productions, Ronald Shusett/Gary Goldman, Digital Image Associates"
actor,Tom Cruise,117,"Paramount Pictures, DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment"
actress,Jamie Lee Curtis,97,"Walt Disney Pictures, Gunn Films, Casual Friday Productions"
actress,Jamie Lee Curtis,99,"Columbia Pictures, 1492 Pictures, Revolution Studios"
actress,Jamie Lee Curtis,90,Dimension Films
actor,John Cusack,98,"Team Todd, Warner Bros., Ubu Productions"
actor,John Cusack,90,"Konrad Pictures, Columbia Pictures Corporation"
actor,John Cusack,127,"Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures"
actor,John Cusack,104,"The Weinstein Company, Di Bonaventura Pictures, Dimension Films"
actor,John Cusack,90,"Miramax Films, Tapestry Films, Simon Fields Productions"
actress,Claire Danes,98,United Artists
actress,Claire Danes,106,"Epsilon Motion Pictures, Hyde Park Films, Shopgirl, Touchstone Pictures"
actress,Geena Davis,77,"Columbia Pictures, Sony Pictures Entertainment"
actor,Robert De Niro,115,"DreamWorks SKG, Universal Pictures, Everyman Pictures, Tribeca Productions"
actor,Robert De Niro,101,"Twentieth Century Fox Film Corporation, Fox 2000 Pictures, Josephson Entertainment, MBC Beteiligungs Filmproduktion"
actor,Robert De Niro,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation"
actor,Robert De Niro,108,"Warner Bros. Pictures, Epsilon Motion Pictures, Franchise Pictures, Brad Grey Pictures, Sea Breeze Productions Inc."
actor,Robert De Niro,167,"Universal Pictures, American Zoetrope, Morgan Creek Productions"
producer,Robert De Niro,167,"Universal Pictures, American Zoetrope, Morgan Creek Productions"
actor,Johnny Depp,102,"Columbia Pictures Corporation, Dimension Films, Troublemaker Studios"
actor,Johnny Depp,124,New Line Cinema
actor,Johnny Depp,151,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions"
actor,Johnny Depp,119,"FilmEngine, Infinitum Nihil, GK Films"
actor,Johnny Depp,143,"Walt Disney Pictures, Jerry Bruckheimer Films"
actor,Johnny Depp,169,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions"
actor,Johnny Depp,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions"
actor,Johnny Depp,96,"Columbia Pictures Corporation, Pariah Entertainment Group, Grand Slam Productions, Mel's Cite du Cinema"
actor,Leonardo DiCaprio,170,"Miramax Films, Appian Way, Forward Pass, Cappa Productions, Warner Bros., Initial Entertainment Group (IEG), IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG, Mel's Cite du Cinema"
actor,Leonardo DiCaprio,141,"Kemp Company, Splendid Pictures, Parkes/MacDonald Productions"
actress,Cameron Diaz,106,"Columbia Pictures, Wonderland Sound and Vision, Tall Trees Productions, Flower Films (II)"
actress,Cameron Diaz,93,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation"
actress,Cameron Diaz,136,"Paramount Pictures, Cruise-Wagner Productions, Vinyl Films"
actress,Cameron Diaz,84,Konrad Pictures
actress,Cameron Diaz,115,"Media Rights Capital, Lin Pictures, Warner Bros., Darko Entertainment, Radar Pictures"
actress,Cameron Diaz,93,"DreamWorks SKG, DreamWorks Animation"
actress,Cameron Diaz,90,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation"
actor,Michael Douglas,110,"Universal Pictures, Kaplan/Perrone Entertainment, MMCB Film Produktion 2004"
actor,Michael Douglas,108,"Twentieth Century Fox Film Corporation, Dune Entertainment, Major Studio Partners, Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures, Sentinel Productions, Furthur Films"
actor,David Duchovny,103,Trust the Man LLC
actor,David Duchovny,118,"DreamWorks SKG, Neal Street Productions, DreamWorks Pictures, Province of British Columbia Production Services Tax Credit"
actor,David Duchovny,101,"Miramax Films, Populist Pictures, Monophonic Inc."
actor,David Duchovny,101,"DreamWorks SKG, Columbia Pictures Corporation, Montecito Picture Company, The"
actor,David Duchovny,98,"Universal Pictures, Spyglass Entertainment, Epsilon Motion Pictures, CCLA Productions"
director,Clint Eastwood,110,"Malpaso Productions, Warner Bros."
