tconst,primaryTitle,category,averageRating,employee,runtimeMinutes,ProductionCompanies,profit_ratio
tt0298148,Shrek 2,actor,7.0,Antonio Banderas,93,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation",5
tt0443678,Unholy,actress,3.0,Adrienne Barbeau,90,,-1
tt0372803,Ring of Darkness,actress,3.0,Adrienne Barbeau,85,"Regent Entertainment, ACH, Christopher Filmcapital",-1
tt0305357,Charlie's Angels: Full Throttle,actress,5.0,Drew Barrymore,106,"Columbia Pictures, Wonderland Sound and Vision, Tall Trees Productions, Flower Films (II)",1
tt0381971,Curious George,actress,7.0,Drew Barrymore,87,"Imagine Entertainment, Universal Pictures, Universal Animation Studios",0
tt0270288,Confessions of a Dangerous Mind,actress,7.0,Drew Barrymore,113,"Miramax Films, Allied Filmmakers, Mad Chance",0
tt0200027,Riding in Cars with Boys,actress,7.0,Drew Barrymore,132,Columbia Pictures,0
tt0343660,50 First Dates,actress,7.0,Drew Barrymore,99,"Columbia Pictures Corporation, Happy Madison Productions, Anonymous Content, Flower Films (II)",1
tt0377057,Elvis Has Left the Building,actress,5.0,Kim Basinger,90,"Capitol Films, Equity Pictures Medienfonds GmbH & Co. KG",-1
tt0443632,The Sentinel,actress,6.0,Kim Basinger,108,"Twentieth Century Fox Film Corporation, Dune Entertainment, Major Studio Partners, Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures, Sentinel Productions, Furthur Films",0
tt0298203,8 Mile,actress,7.0,Kim Basinger,110,"Imagine Entertainment, Mikona Productions GmbH & Co. KG",4
tt0471042,Tower Heist,actor,6.0,Matthew Broderick,104,"Universal Pictures, Image Entertainment, Relativity Media, Rat Entertainment",1
tt0395251,The Producers,actor,6.0,Matthew Broderick,134,"Sony Pictures, Gaumont Columbia Tristar Films",0
tt0326900,Good Boy,actor,5.0,Matthew Broderick,87,"Jim Henson Pictures, Metro-Goldwyn-Mayer (MGM)",-1
tt0327162,The Stepford Wives,actor,5.0,Matthew Broderick,93,"Paramount Pictures, De Line Pictures, DreamWorks Pictures",0
tt0389790,Bee Movie,actor,6.0,Matthew Broderick,91,"Pacific Data Images (PDI), DreamWorks Animation, Columbus 81 Productions",0
tt0367479,After the Sunset,actor,6.0,Pierce Brosnan,97,"New Line Cinema, Contrafilm, Firm Films",0
