tconst,primaryTitle,category,averageRating,employee,runtimeMinutes,ProductionCompanies,profit_ratio
tt0121164,Corpse Bride,actress,7.0,Helena Bonham Carter,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,actress,7.0,Joanna Lumley,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,actress,7.0,Tracey Ullman,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,casting_director,7.0,Michelle Guish,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,cinematographer,7.0,Pete Kozachik,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,composer,7.0,Danny Elfman,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,director,7.0,Mike Johnson,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,director,7.0,Tim Burton,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,editor,7.0,Chris Lebenzon,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,editor,7.0,Jonathan Lucas,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,producer,7.0,Allison Abbate,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,producer,7.0,Tim Burton,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,production_designer,7.0,Alex McDowell,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,writer,7.0,Carlos Grangel,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,writer,7.0,Caroline Thompson,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,writer,7.0,John August,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121164,Corpse Bride,writer,7.0,Tim Burton,77,"Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",1
tt0121765,Star Wars: Episode II - Attack of the Clones,actor,7.0,Christopher Lee,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,actor,7.0,Ewan McGregor,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,actor,7.0,Frank Oz,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,actor,7.0,Hayden Christensen,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,actor,7.0,Ian McDiarmid,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,actor,7.0,Jimmy Smits,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,actor,7.0,Samuel L. Jackson,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,actor,7.0,Temuera Morrison,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,actress,7.0,Natalie Portman,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,actress,7.0,Pernilla August,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,casting_director,7.0,Robin Gurland,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,cinematographer,7.0,David Tattersall,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,composer,7.0,John Williams,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,director,7.0,George Lucas,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,editor,7.0,Ben Burtt,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,producer,7.0,Lorne Orleans,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,producer,7.0,Rick McCallum,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,production_designer,7.0,Gavin Bocquet,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,writer,7.0,George Lucas,142,Lucasfilm,4
tt0121765,Star Wars: Episode II - Attack of the Clones,writer,7.0,Jonathan Hales,142,Lucasfilm,4
tt0121766,Star Wars: Episode III - Revenge of the Sith,actor,8.0,Anthony Daniels,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,actor,8.0,Christopher Lee,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,actor,8.0,Ewan McGregor,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,actor,8.0,Frank Oz,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,actor,8.0,Hayden Christensen,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,actor,8.0,Ian McDiarmid,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,actor,8.0,Jimmy Smits,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,actor,8.0,Samuel L. Jackson,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,actress,8.0,Keisha Castle-Hughes,140,Lucasfilm,6
tt0121766,Star Wars: Episode III - Revenge of the Sith,actress,8.0,Natalie Portman,140,Lucasfilm,6
